team,opponent,YPA,EPA,EPA/DB,DVOA
ARI,ATL,7.252,46.484,0.092,6.08
ATL,ARI,7.158,-1.799,-0.004,2.17
BAL,NE,6.745,14.093,0.025,9.6
BUF,CLE,6.668,-28.801,-0.065,3.21
CAR,TB,7.319,41.522,0.087,14.72
CHI,GB,7.454,-7.533,-0.016,9.27
CIN,MIA,8.072,89.195,0.176,35.02
CLE,BUF,6.887,-38.769,-0.085,-3.02
DAL,LAC,8.053,85.107,0.16,29.8
DEN,JAX,6.365,-33.27,-0.058,-5.98
DET,PIT,7.523,22.064,0.042,-5.36
GB,CHI,6.293,28.524,0.055,3.41
HOU,LV,6.167,-94.383,-0.184,-20.99
IND,SF,7.059,9.394,0.016,1.52
JAX,DEN,6.317,-45.782,-0.078,-3.45
KC,TEN,7.127,9.822,0.021,7.62
LAC,DAL,6.336,-54.821,-0.111,-9.95
LAR,SEA,6.602,-57.006,-0.101,-11.11
LV,HOU,7.252,52.785,0.11,10.25
MIA,CIN,7.284,40.673,0.085,20.55
MIN,NYG,6.997,-39.161,-0.086,-3.36
NE,BAL,6.817,-18.305,-0.036,20.59
NO,NYJ,7.076,11.6,0.026,11.92
NYG,MIN,7.216,43.435,0.081,8.71
NYJ,NO,7.197,77.944,0.168,42.36
PHI,WAS,6.361,-53.265,-0.099,-10.36
PIT,DET,7.044,4.773,0.008,0.9
SEA,LAR,5.962,-71.405,-0.124,-18.95
SF,IND,6.885,36.562,0.07,15.32
TB,CAR,7.731,24.21,0.044,4.42
TEN,KC,8.1,82.315,0.165,26.61
WAS,PHI,8.402,109.007,0.222,23.19
